date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:35	29657/29657	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2017:51:18%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/index.html	(from )
08:00:37	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Nov%202023%2001:00:37%20GMT	https://duruthemes.com/robots.txt		(from )
08:00:37	5143/5143	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2017:51:23%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/images/favicon.png	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/images/favicon.png	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:37	71552/71552	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:51:19%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/css/animate.css	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/css/animate.css	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:38	16402/16402	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:51:19%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/css/themify-icons.css	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/css/themify-icons.css	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:38	194652/194652	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:51:18%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/css/bootstrap.min.css	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/css/bootstrap.min.css	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:38	7744/7744	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:51:19%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/css/magnific-popup.css	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/css/magnific-popup.css	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:39	3351/3351	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:51:19%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/css/owl.carousel.min.css	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/css/owl.carousel.min.css	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:39	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:51:19%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/css/owl.theme.default.min.css	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/css/owl.theme.default.min.css	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:40	42109/42109	---M-Z	200	added ('OK')	text/css	date:Fri,%2010%20Mar%202023%2017:51:19%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/css/style.css	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/css/style.css	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:40	11937/11937	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2017:51:23%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/images/logo.png	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/images/logo.png	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:40	14363/14363	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Mar%202023%2017:51:18%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/blog.html	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/blog.html	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:42	32403/32403	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202023%2017:51:22%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/images/bride.jpg	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/images/bride.jpg	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
08:00:42	199570/199570	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Mar%202023%2017:51:21%20GMT	https://duruthemes.com/demo/html/olivia-enrico/demo1/images/slider.jpg	C:/My%20Web%20Sites/wedding/duruthemes.com/demo/html/olivia-enrico/demo1/images/slider.jpg	(from https://duruthemes.com/demo/html/olivia-enrico/demo1/index.html)
